State,Tenure category,International plan,Voice mail plan,Total day minutes,Total day charge,Total eve minutes,Total eve charge,Total night minutes,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Total national minutes,Total national calls,Total national charge,Avg minutes per call,Avg int minutes per call,Cost per minute,Cost per minute intl,High service calls,Has All Plans,zero_vmail_messages
40.0,1.0,-0.32626281638732346,1.5850434181317044,-0.629125465175415,-0.6727067250361187,-0.5658280169094093,-0.6035742800286991,-0.5573072448954355,-0.6922128603741872,0.07005707647725384,-1.0212155130264635,-0.36185352073754457,-0.4247872771307412,-1.0278737892758547,-1.5394710544770696,-1.001117033604654,0.07007006204430671,0.9315162413619329,-0.3823591276073669,-0.6551645263972733,-0.302218288911832,-0.1702170469087926,-1.5850434181317044
46.0,1.0,-0.32626281638732346,-0.6308975442317555,-0.5344117942939379,-0.5613366314189381,-1.3995320843809032,-1.3202953794250072,-0.290968609442431,-0.23929876519076942,-0.29037741960391034,1.0443184743241676,-0.36185352073754457,-1.1682376998708544,-1.295790367321878,-0.3327995010814872,-1.1002862992819136,-0.9079256588628822,-0.7671859116808951,-0.10404916283575297,-0.14231728289091353,-0.302218288911832,-0.1702170469087926,0.6308975442317555
47.0,2.0,-0.32626281638732346,-0.6308975442317555,0.791579598046742,0.7751044919872297,0.6338924704276185,0.5909608856318146,-1.6021741993649146,-1.5980410507410225,-0.29037741960391034,0.21810487938391507,-0.36185352073754457,1.0621135683494851,-0.06104439893585698,0.16752772837521768,0.5855912172314989,-0.2121591914539683,-0.5319809981826574,1.3366034887636495,-0.14231728289091353,-0.302218288911832,-0.1702170469087926,0.6308975442317555
21.0,2.0,-0.32626281638732346,-0.6308975442317555,-0.11767164241543851,-0.11585625695021545,-0.19981159704387538,-0.1257602137644936,1.8397404741816048,2.025271710726319,0.07005707647725384,-1.0212155130264635,-0.36185352073754457,-1.1682376998708544,0.8591908039178757,0.13809671487776445,0.2880834201997202,0.5072845746197372,0.9315162413619329,-0.7149189775262804,-0.6551645263972733,-0.302218288911832,-0.1702170469087926,0.6308975442317555
2.0,1.0,-0.32626281638732346,-0.6308975442317555,1.7576590410378088,1.7774353345418556,-1.8875539775349484,-1.7981094456892128,-0.31145619678496983,-0.23929876519076942,0.7909260686395823,-1.0212155130264635,0.9038912843594474,-1.1682376998708544,-0.17752986765151935,-0.18564443359422106,0.783929748586018,-0.09671258151122954,1.3888591287196173,1.9749920199479398,0.49874177149203713,-0.302218288911832,-0.1702170469087926,0.6308975442317555
30.0,2.0,-0.32626281638732346,-0.6308975442317555,1.2462052182778323,1.2205848664559524,0.3492130327544255,0.3520538524997119,0.8768238690822809,0.666529425176066,1.1513605647207465,0.6312116768540413,0.9038912843594474,-1.1682376998708544,1.46491524123932,0.3146827958624838,1.3789453426495755,0.8488664752991484,-0.3642886061515066,0.3491711258533404,0.054931656919225635,-0.302218288911832,-0.1702170469087926,0.6308975442317555
41.0,2.0,-0.32626281638732346,-0.6308975442317555,1.1514915473963552,1.1092147728387718,0.6135582248795333,0.5909608856318146,0.34414659817627197,0.21361532999264826,-1.732115403928567,-1.4343223104965899,-1.6275983258345366,0.3186631456093719,1.2552413975511278,-0.8919887575330985,1.2797760769723159,1.6019449516807267,0.9315162413619329,0.47951350186629876,-0.6551645263972733,-0.302218288911832,-0.1702170469087926,0.6308975442317555
49.0,2.0,-0.32626281638732346,-0.6308975442317555,-2.2392578701605266,-2.231888035676648,-0.11847461485153452,-0.1257602137644936,-1.1719348651715997,-1.145126955557605,0.430491572558418,1.87053206926442,0.9038912843594474,-0.4247872771307412,-2.1111886483315145,-1.0391438250203646,-2.290317487409028,-1.226697744878602,-0.7962235553226529,-1.7046296789016475,1.023244634168996,-0.302218288911832,-0.1702170469087926,0.6308975442317555
12.0,2.0,-0.32626281638732346,-0.6308975442317555,0.9620642056334009,0.997844679221591,0.5118869971391072,0.5909608856318146,-0.04511756133196535,-0.23929876519076942,-1.0112464117662388,0.6312116768540413,-0.36185352073754457,1.0621135683494851,0.8591908039178757,0.8444410388166419,1.0814375456177967,0.08353751467696377,-0.821631493509191,0.7253181674367776,1.3229605556986872,-0.302218288911832,-0.1702170469087926,0.6308975442317555
10.0,0.0,3.0650136937849775,1.5850434181317044,0.8105223322230374,0.7751044919872297,-0.8098389634864319,-0.8424813131608018,0.36463418551881077,0.21361532999264826,1.1513605647207465,-1.0212155130264635,0.9038912843594474,-1.1682376998708544,0.24181781972486519,-0.009058352609501689,0.38725268587697975,0.12477119681151766,1.6175305723984597,0.4033651556564929,0.054931656919225635,-0.302218288911832,5.874852244004856,-1.5850434181317044
